F001,Bengaluru,06:00,Mumbai,08:30,2.5,4500
F002,Mumbai,09:30,Delhi,12:00,2.5,5000
F003,Delhi,14:00,Kolkata,17:00,3.0,5500
F004,Bengaluru,07:00,Hyderabad,08:45,1.75,4000
F005,Hyderabad,10:00,Mumbai,12:30,2.5,4700
F006,Bengaluru,09:00,Chennai,10:30,1.5,3000
F007,Chennai,12:00,Kolkata,15:30,3.5,6000
F008,Kolkata,17:30,Guwahati,19:00,1.5,3500
F009,Delhi,11:00,Bengaluru,14:30,3.5,7000
F010,Hyderabad,15:00,Delhi,17:30,2.5,4800
F011,Mumbai,18:00,Bengaluru,20:30,2.5,4200
F012,Kolkata,19:30,Chennai,22:00,2.5,5200
F013,Bengaluru,16:00,Delhi,19:00,3.0,6500
F014,Mumbai,13:00,Hyderabad,15:30,2.5,4700
F015,Bengaluru,20:00,Kolkata,23:30,3.5,7200
F016,Chennai,08:00,Mumbai,10:30,2.5,5200
F017,Delhi,06:30,Hyderabad,09:00,2.5,5000
F018,Guwahati,10:30,Kolkata,12:00,1.5,3500
F019,Bengaluru,05:30,Delhi,08:30,3.0,6100
F020,Mumbai,19:00,Chennai,21:30,2.5,4600
